year,title,authors,n_authors,affiliations,reading_time_min,doi,url
2025,Caring and sharing: Global analysis of happiness and kindness,John F. Helliwell; Lara B. Aknin; Haifang Huang; Max Norton; Shun Wang; Felix Cheung; Yeeun Archer Lee; Sara Konrath,8,"Vancouver School of Economics, University of British Columbia | Department of Psychology, Simon Fraser University | Department of Economics, University of Alberta | Vancouver School of Economics, University of British Columbia | International Business School Suzhou, Xi'an Jiaotong-Liverpool University | Department of Psychology, University of Toronto | Department of Psychology, Trinity Western University | Lilly Family School of Philanthropy, Indiana University; Institute for Social Research, University of Michigan",66,10.18724/whr-31zp-ga37,https://www.worldhappiness.report/ed/2025/caring-and-sharing-global-analysis-of-happiness-and-kindness/
2025,Connecting with others: How social connections improve the happiness of young adults,Rui Pei*; Jamil Zaki*,2,"Department of Psychology, Stanford University | Department of Psychology, Stanford University",39,10.18724/whr-zc5n-4f96,https://www.worldhappiness.report/ed/2025/connecting-with-others-how-social-connections-improve-the-happiness-of-young-adults/
2025,Executive summary,John F. Helliwell; Richard Layard; Jeffrey D. Sachs; Jan-Emmanuel De Neve; Lara B. Aknin; Shun Wang,6,"Vancouver School of Economics, University of British Columbia | Centre for Economic Performance, London School of Economics and Political Science | Center for Sustainable Development, Columbia University | Wellbeing Research Centre, University of Oxford | Department of Psychology, Simon Fraser University | International Business School Suzhou, Xi'an Jiaotong-Liverpool University",8,10.18724/whr-nkm9-5m31,https://www.worldhappiness.report/ed/2025/executive-summary/
2025,Giving to others: How to convert your money into greater happiness for others,Michael Plant; Joel McGuire; Samuel Dupret; Ryan Dwyer; Ben Stewart,5,Happier Lives Institute; University of Oxford | Happier Lives Institute | Happier Lives Institute | Happier Lives Institute | Happier Lives Institute,46,10.18724/whr-e0cy-0r69,https://www.worldhappiness.report/ed/2025/giving-to-others-how-to-convert-your-money-into-greater-happiness-for-others/
2025,Living with others: How household size and family bonds relate to happiness,Mariano Rojas; Lina Martínez; Gerardo Leyva Parra; Roberto Castellanos; Margarita Tarragona,5,"Tecnológico Nacional de México | Universidad ICESI, Observatory of Public Policies (POLIS), Cali - Colombia | Research Institute for Development with Equity (EQUIDE), Universidad Iberoamericana | Faculty of Political and Social Sciences, National Autonomous University of Mexico | ITAM Center for Wellbeing Studies, Instituto Tecnológico Autónomo de México",30,10.18724/whr-5xep-q992,https://www.worldhappiness.report/ed/2025/living-with-others-how-household-size-and-family-bonds-relate-to-happiness/
2025,Sharing meals with others: How sharing meals supports happiness and social connections,Jan-Emmanuel De Neve; Andrew Dugan; Micah Kaats; Alberto Prati,4,University of Oxford | Gallup | Harvard Kennedy School | University College London,41,10.18724/whr-g119-bv60,https://www.worldhappiness.report/ed/2025/sharing-meals-with-others-how-sharing-meals-supports-happiness-and-social-connections/
2025,Supporting others: How prosocial behaviour reduces deaths of despair,Kelsey J. O’Connor; Chiara Peroni; Francesco Sarracino; Giulia Slater; Fengyu Wu,5,STATEC Research | STATEC Research | STATEC Research | STATEC Research | STATEC Research,43,10.18724/whr-t5h9-dj68,https://www.worldhappiness.report/ed/2025/supporting-others-how-prosocial-behaviour-reduces-deaths-of-despair/
2025,Trusting others: How unhappiness and social distrust explain populism,Yann Algan; Corin Blanc; Claudia Senik,3,"HEC, Cepremap | Cepremap, EconomiX, Université Paris-Nanterre | Sorbonne University, PSE, Cepremap",24,10.18724/whr-hhje-y762,https://www.worldhappiness.report/ed/2025/trusting-others-how-unhappiness-and-social-distrust-explain-populism/
2026,Adolescent life satisfaction and social media use: gender differences in an international dataset,Jean M. Twenge; Alexis Diomino; Alana Rio,3,"Department of Psychology, San Diego State University | Department of Psychology, San Diego State University | Department of Psychology, San Diego State University",15,10.18724/whr-31zj-es56,https://www.worldhappiness.report/ed/2026/adolescent-life-satisfaction-and-social-media-use-gender-differences-in-an-international-dataset/
2026,Executive summary: happiness and social media,John F. Helliwell; Richard Layard; Jeffrey D. Sachs; Jan-Emmanuel De Neve; Lara B. Aknin; Shun Wang,6,"Vancouver School of Economics, University of British Columbia | Centre for Economic Performance, London School of Economics and Political Science | Center for Sustainable Development, Columbia University | Wellbeing Research Centre, University of Oxford | Department of Psychology, Simon Fraser University | International Business School Suzhou, Xi'an Jiaotong-Liverpool University",12,10.18724/whr-ewft-vq17,https://www.worldhappiness.report/ed/2026/executive-summary-happiness-and-social-media/
2026,International evidence on happiness and social media,John F. Helliwell; Lara B. Aknin; Haifang Huang; Mariano Rojas; Shun Wang; Vicente Guerra; Adam Danyluk,7,"Vancouver School of Economics, University of British Columbia | Department of Psychology, Simon Fraser University | Department of Economics, University of Alberta | Tecnológico Nacional de México | International Business School Suzhou, Xi'an Jiaotong-Liverpool University | Vancouver School of Economics, University of British Columbia | Department of Psychology, Simon Fraser University",61,10.18724/whr-db0f-2b39,https://www.worldhappiness.report/ed/2026/international-evidence-on-happiness-and-social-media/
2026,"Internet use, social media, and wellbeing: the role of trust, social connections, and emotional bonds",Zeynep Ozkok; Jonathan Rosborough; Brandon Malloy,3,"Department of Economics, St. Francis Xavier University | Department of Economics, St. Francis Xavier University | Department of Economics, St. Francis Xavier University",50,10.18724/whr-f6wk-qj35,https://www.worldhappiness.report/ed/2026/internet-use-social-media-and-wellbeing-the-role-of-trust-social-connections-and-emotional-bonds/
2026,Problematic social media use and adolescent wellbeing: the role of family socioeconomic status across 43 countries,Pablo Gracia; Roger Fernandez-Urbano; Maria Rubio-Cabañez; Seyma Celik; Beyda Cineli,5,"Department of Sociology, Universitat Autònoma de Barcelona, Centre d’Estudis Demogràfics, CED-CERCA | Department of Sociology, Universitat de Barcelona | Department of Sociology, Universitat Autònoma de Barcelona, Centre d’Estudis Demogràfics, CED-CERCA | INVEST Research Flagship Centre, University of Turku, Department of Sociology, Trinity College Dublin | Department of Sociology, Universitat Autònoma de Barcelona, Centre d’Estudis Demogràfics, CED-CERCA",21,10.18724/whr-z6ws-dp10,https://www.worldhappiness.report/ed/2026/problematic-social-media-use-and-adolescent-wellbeing-the-role-of-family-socioeconomic-status-across-43-countries/
2026,Social media is harming adolescents at a scale large enough to cause changes at the population level,Jonathan Haidt; Zachary Rausch,2,"Stern School of Business, New York University | Stern School of Business, New York University",61,10.18724/WHR-G490-BG86,https://www.worldhappiness.report/ed/2026/social-media-is-harming-adolescents-at-a-scale-large-enough-to-cause-changes-at-the-population-level/
2026,Social media use and wellbeing in the Middle East and North Africa,Martijn Burger; Talita Greyling; Stephanie Rossouw; Francesco Sarracino; Fengyu Wu,5,"Erasmus Happiness Economics Research Organisation, Erasmus University Rotterdam Faculty of Management, Open University of the Netherlands C.WAIS and School of Economics, University of Johannesburg | C.WAIS and School of Economics, University of Johannesburg | School of Social Sciences & Humanities, Auckland University of Technology | STATEC Research | STATEC Research",33,10.18724/whr-tv9w-9h41,https://www.worldhappiness.report/ed/2026/social-media-use-and-wellbeing-in-the-middle-east-and-north-africa/
2026,"Social media, wasting time, and product traps",Cass R. Sunstein,1,"Harvard Law School, Harvard University",19,10.18724/whr-4fk1-g247,https://www.worldhappiness.report/ed/2026/social-media-wasting-time-and-product-traps/
2026,Translating scientific evidence into effective policies for health and technology requires care,Sophie Lloyd-Hurwitz; Andrew Przybylski,2,"Oxford Internet Institute, University of Oxford | Oxford Internet Institute, University of Oxford",47,10.18724/whr-zm8z-mg59,https://www.worldhappiness.report/ed/2026/translating-scientific-evidence-into-effective-policies-for-health-and-technology-requires-care/
