country_code,country_name,year,ladder,log_gdp,social_support,life_exp_healthy,freedom,generosity,corruption,gdp_pc_ppp,life_exp,internet_pct,urban_pct,education_spend_pct,fdi_pct
HKG,Hong Kong S.A.R. of China,2023,5.308499813079834,10.966443061828612,0.8169247508049011,77.27977752685547,0.6873374581336975,-0.0258915331214666,0.3846096694469452,64036.6454154727,83.6609756097561,95.61357052,100.0,3.72866988182068,34.127375983385
ALB,Albania,2023,5.277299880981445,9.567472457885742,0.7179091572761536,69.15007019042969,0.7943277955055237,-0.0069323987700045,0.8780936002731323,19388.8731331744,78.769,82.61367544,57.8643477747383,2.72977995872498,7.57934042905775
IDN,Indonesia,2023,5.276899814605713,9.38515567779541,0.803985059261322,63.04774475097656,0.8801135420799255,0.5313863158226013,0.8759906888008118,13334.2653947637,70.925,66.48461277,57.4934704226599,0.863943349575907,1.87264100861425
ZAF,South Africa,2023,5.274600028991699,9.477535247802734,0.906631350517273,56.98897171020508,0.7300763726234436,-0.086628682911396,0.9021425843238832,13767.4967589936,65.454,78.29319763,63.4766699210327,6.15599012374878,2.26670277731613
COG,Congo (Brazzaville),2023,5.267099857330322,8.095203399658203,0.6046052575111389,56.85004425048828,0.7300418019294739,-0.0043394467793405,0.7391861081123352,6205.1050414034,65.0,40.98669815,63.6422003342807,2.72738253259215,3.36508336137956
MKD,North Macedonia,2023,5.253600120544434,9.703169822692873,0.8047484159469604,66.50035095214844,0.7689635753631592,0.1312396973371505,0.9017152786254884,22822.3280431288,74.4248780487805,83.85030365,61.9530566607267,,6.13067578989693
VEN,Venezuela,2023,5.210599899291992,5.526723384857178,0.8388254046440125,64.04983520507812,0.6587069630622864,0.1283712387084961,0.8114349842071533,,72.566,75.82180023,89.2132204732836,,2.63893280227629
LAO,Laos,2023,5.110700130462647,8.962409019470215,0.6789469718933105,60.945587158203125,0.9188553094863892,0.0909888669848442,0.7025218605995178,8183.03286472653,68.715,64.54000092,38.0682382805397,1.46083440434069,4.69509225789707
GEO,Georgia,2023,5.109099864959717,9.646263122558594,0.7161714434623718,64.95006561279297,0.7864701747894287,-0.2542763352394104,0.6488924622535706,20966.5280391134,74.141,78.71127536,60.0101622679115,3.75498008728027,9.03652531888906
GIN,Guinea,2023,5.071700096130371,7.880491733551025,0.6486329436302185,54.185394287109375,0.6587153673171997,0.1252006888389587,0.7869686484336853,3792.01068836277,60.432,31.31399918,37.2384967469106,2.00722302981184,3.30630355394451
UKR,Ukraine,2023,5.071400165557861,9.313715934753418,0.8775262236595154,64.5501708984375,0.7954239845275879,0.2403110712766647,0.9067386388778688,13787.12109375,72.658,80.47429657,69.42345912103,,0.136428578229067
CIV,Ivory Coast,2023,5.052700042724609,8.576385498046875,0.5723483562469482,55.95271301269531,0.7326547503471375,0.0028205241542309,0.7458509802818298,6272.26395759415,61.562,38.41328122,52.8492549676673,3.47484993934631,2.2547265327193
GAB,Gabon,2023,5.0346999168396,9.537482261657717,0.7455086708068848,58.25178909301758,0.6417741179466248,-0.187012106180191,0.7863147854804993,18662.0497970621,67.713,67.67169952,91.2243355459988,2.20773650357931,5.40389729406011
NGA,Nigeria,2023,4.980599880218506,8.49583911895752,0.739812433719635,54.89082717895508,0.7184043526649475,0.0728492066264152,0.9111672043800354,7752.26206532009,54.079,39.14720154,61.3727650622225,0.348516707890877,-0.0288727652154093
CMR,Cameroon,2023,4.973199844360352,8.21674919128418,0.6862311959266663,55.84713745117188,0.6862788796424866,0.0147625766694545,0.8463644981384277,4843.65038202917,62.443,40.12559891,54.8458745688318,2.65952378267367,2.08735032157122
MOZ,Mozambique,2023,4.953999996185303,7.116300582885742,0.6918163299560547,51.53021240234375,0.8514707088470459,0.0466913282871246,0.6604602932929993,1476.66560298097,63.011,18.96220016,35.0536638047945,5.97607342054314,16.0042947069706
IRQ,Iraq,2023,4.940899848937988,9.098432540893556,0.7184528112411499,63.41473388671875,0.6457712054252625,-0.0053996844217181,0.8762640357017517,13433.3977166987,72.037,78.71560926,69.8682861328125,,-0.726653366772653
PSE,State of Palestine,2023,4.907800197601318,8.716377258300781,0.8594945073127747,,0.6944997906684875,-0.1323699057102203,0.8357949256896973,5753.08395899307,76.662,88.64690554,86.5961423216016,,1.62179695015304
MAR,Morocco,2023,4.9028000831604,8.973066329956055,0.5531101226806641,63.90077590942383,0.7872825860977173,-0.2307837307453155,0.8108253479003906,8690.4482421875,75.161,89.9,62.5118468550703,5.91224674061277,1.74814323662076
IRN,Iran,2023,4.876299858093262,9.610322952270508,0.777547299861908,66.59994506835938,0.592562198638916,0.1729328036308288,0.7470312714576721,16377.9610645368,76.799,81.71649933,76.3342208862305,2.6699800491333,0.354893288694741
SEN,Senegal,2023,4.855100154876709,8.15528678894043,0.6292861104011536,59.998931884765625,0.7716072201728821,0.0107729323208332,0.8458921313285828,4228.73382642974,67.788,56.82830048,53.4435061024348,5.95222997665405,10.5411241953817
MRT,Mauritania,2023,4.723899841308594,8.590913772583008,0.6438930630683899,60.47499847412109,0.6222173571586609,-0.0127996131777763,0.6573241949081421,6053.26178155509,68.281,42.46450043,58.8120996197226,1.38966000080109,14.6644208551054
BFA,Burkina Faso,2023,4.637599945068359,7.666715621948242,0.6634751558303833,55.461307525634766,0.696463406085968,0.0953673347830772,0.7713660597801208,2469.19956941259,60.7,25.3987999,27.2791369742712,5.29456753304241,3.59640793567206
NAM,Namibia,2023,4.630799770355225,9.120738983154297,0.7869246602058411,56.8513298034668,0.6694822311401367,-0.1255770772695541,0.8303823471069336,9953.09752403491,64.19,62.99720001,49.5291037671807,9.3919470845238,8.40166893779959
